date_transited,item_type,from_library,from_authority,to_library,to_authority
2018-07-09,YA / Teen Fiction,Hartcliffe Library,Bristol,Highcliffe Library,Dorset
2018-07-09,Child Non Fiction,Staple Hill Library,South Gloucestershire,Bath Central Library,Bath and North East Somerset
2018-07-09,Adult Non Fiction,Staple Hill Library,South Gloucestershire,Bristol Central Lending Library,Bristol
2018-07-09,Adult Fiction,Staple Hill Library,South Gloucestershire,Gillingham Library,Dorset
2018-07-09,Child Non Fiction,Staple Hill Library,South Gloucestershire,Knowle Library,Bristol
2018-07-09,Adult Non Fiction,Yate Library,South Gloucestershire,Blandford Library,Dorset
2018-07-09,Child Fiction,Henleaze Library,Bristol,Henbury Library,Bristol
2018-07-09,Adult Fiction,Yate Library,South Gloucestershire,Moorland Road Library,Bath and North East Somerset
2018-07-09,Adult Non Fiction,Filton Library,South Gloucestershire,Fishponds Library,Bristol
2018-07-09,Adult Non Fiction,Downend Library,South Gloucestershire,Yate Library,South Gloucestershire
2018-07-09,Adult Non Fiction,Filton Library,South Gloucestershire,Weymouth Library,Dorset
2018-07-09,Adult Fiction,Filton Library,South Gloucestershire,Fishponds Library,Bristol
2018-07-09,Adult Fiction,Filton Library,South Gloucestershire,Campus Library,North Somerset
2018-07-09,Adult Fiction,Filton Library,South Gloucestershire,Downend Library,South Gloucestershire
2018-07-09,Adult Fiction,Filton Library,South Gloucestershire,Kingswood Library,South Gloucestershire
2018-07-09,Adult Fiction,Filton Library,South Gloucestershire,Downend Library,South Gloucestershire
2018-07-09,15 DVD Premium,Bishopston Library,Bristol,Redland Library,Bristol
2018-07-09,Child Non Fiction,Congresbury Library,North Somerset,B&NES Mobile Libraries,Bath and North East Somerset
2018-07-09,Adult Non Fiction,Downend Library,South Gloucestershire,Yate Library,South Gloucestershire
2018-07-09,Adult Non Fiction,Filton Library,South Gloucestershire,Horfield Library,Bristol
2018-07-09,Adult Non Fiction,Filton Library,South Gloucestershire,Horfield Library,Bristol
2018-07-09,Adult Fiction,Yeovil Library,Somerset,N Som Healthy Living Centre,North Somerset
2018-07-09,Boxed Set 15 DVD,Poole Central Library,Poole,Marksbury Road Library,Bristol
2018-07-09,Child Fiction,Filton Library,South Gloucestershire,Bedminster Library,Bristol
2018-07-09,Adult Fiction,Filton Library,South Gloucestershire,North Somerset Reserve,North Somerset
2018-07-09,Adult Fiction,Filton Library,South Gloucestershire,Clevedon Library,North Somerset
2018-07-09,Adult Non Fiction,Dorchester Library,Dorset,Bristol Central Lending Library,Bristol
2018-07-09,Adult Fiction,Dorchester Library,Dorset,Bristol Central Lending Library,Bristol
2018-07-09,Child Fiction,Dorchester Library,Dorset,Moorland Road Library,Bath and North East Somerset
2018-07-09,Adult Fiction,Hamworthy Library,Poole,Ferndown Library,Dorset
2018-07-09,Child Fiction,Dorchester Library,Dorset,Broadstone Library,Poole
2018-07-09,Adult Fiction,North Somerset Mobile,North Somerset,Nailsea Library,North Somerset
2018-07-09,Child Non Fiction,Dorchester Library,Dorset,Hartcliffe Library,Bristol
2018-07-09,YA / Teen Fiction,Langport Library,Somerset,Stockwood Library,Bristol
2018-07-09,YA / Teen Fiction,Langport Library,Somerset,Paulton Library,Bath and North East Somerset
2018-07-09,Adult Fiction,Poole Central Library,Poole,Bristol Central Lending Library,Bristol
2018-07-09,Adult Fiction,Thornbury Library,South Gloucestershire,Weymouth Library,Dorset
2018-07-09,Adult Non Fiction,St Pauls Library,Bristol,Wells Library,Somerset
2018-07-09,Adult Fiction,Chickerell Library,Dorset,Upton Library,Dorset
2018-07-09,Adult Fiction,Ferndown Library,Dorset,Corfe Mullen Library,Dorset
2018-07-09,Adult Non Fiction,Wells Library,Somerset,Taunton Library,Somerset
2018-07-09,Adult Non Fiction,Staple Hill Library,South Gloucestershire,Downend Library,South Gloucestershire
2018-07-09,Adult Fiction,Hamworthy Library,Poole,Upton Library,Dorset
2018-07-09,Large Print - Adult Non Fiction,Kingswood Library,South Gloucestershire,Patchway Library,South Gloucestershire
2018-07-09,Adult Fiction,Whitchurch Library,Bristol,Wellington Library,Somerset
2018-07-09,Adult Non Fiction,Bishopston Library,Bristol,Emersons Green Library,South Gloucestershire
2018-07-09,Adult Non Fiction,Shaftesbury Library,Dorset,Bristol Central Lending Library,Bristol
2018-07-09,Adult Non Fiction,Staple Hill Library,South Gloucestershire,Downend Library,South Gloucestershire
2018-07-09,Child Fiction,Staple Hill Library,South Gloucestershire,Whitchurch Library,Bristol
2018-07-09,Adult Fiction,Dorchester Library,Dorset,Frome Library,Somerset
2018-07-09,Adult Fiction,Staple Hill Library,South Gloucestershire,Broadstone Library,Poole
2018-07-09,Adult Non Fiction,Shaftesbury Library,Dorset,Bristol Central Lending Library,Bristol
2018-07-09,Child Fiction,Filton Library,South Gloucestershire,Sherborne Library,Dorset
2018-07-09,Adult Non Fiction,Kingswood Library,South Gloucestershire,Patchway Library,South Gloucestershire
2018-07-09,Adult Fiction,Weston-super-Mare Library,North Somerset,Bath Central Library,Bath and North East Somerset
2018-07-09,Adult Non Fiction,Shaftesbury Library,Dorset,Somerset County Reserve,Somerset
2018-07-09,Adult Fiction,Glastonbury Library,Somerset,Wells Library,Somerset
2018-07-09,Adult Fiction,Dorchester Library,Dorset,Thornbury Library,South Gloucestershire
2018-07-09,Adult Fiction,Glastonbury Library,Somerset,Nailsea Library,North Somerset
2018-07-09,Adult Fiction,Glastonbury Library,Somerset,Chard Library,Somerset
2018-07-09,Adult Fiction,Dorchester Library,Dorset,Castle Cary Library,Somerset
2018-07-09,Adult Fiction,Burnham Library,Somerset,Oakdale Library,Poole
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Junction 3 Library,Bristol
2018-07-09,Adult Fiction,Burnham Library,Somerset,Winterbourne Library,South Gloucestershire
2018-07-09,Adult Fiction,Burnham Library,Somerset,Christchurch Library,Dorset
2018-07-09,Adult Fiction,Burnham Library,Somerset,Taunton Library,Somerset
2018-07-09,Adult Fiction,Poole Central Library,Poole,Broadstone Library,Poole
2018-07-09,Adult Non Fiction,Burnham Library,Somerset,Bridport Library,Dorset
2018-07-09,Adult Fiction,Burnham Library,Somerset,Bristol Central Lending Library,Bristol
2018-07-09,Adult Fiction,Dorchester Library,Dorset,Bishopston Library,Bristol
2018-07-09,Adult Fiction,Burnham Library,Somerset,Frome Library,Somerset
2018-07-09,Adult Fiction,West Moors Library,Dorset,Wincanton Library,Somerset
2018-07-09,Adult Fiction,Dorchester Library,Dorset,Bath Central Library,Bath and North East Somerset
2018-07-09,Adult Fiction,Bridport Library,Dorset,Dorchester Library,Dorset
2018-07-09,Child Non Fiction,Dorchester Library,Dorset,Nailsea Library,North Somerset
2018-07-09,Child Fiction,Street Library,Somerset,Frome Library,Somerset
2018-07-09,Adult Non Fiction,Henleaze Library,Bristol,Broadstone Library,Poole
2018-07-09,Adult Fiction,Burnham Library,Somerset,Dorchester Library,Dorset
2018-07-09,Adult Non Fiction,Dorchester Library,Dorset,Wimborne Library,Dorset
2018-07-09,Adult Fiction,Downend Library,South Gloucestershire,Yate Library,South Gloucestershire
2018-07-09,YA / Teen Fiction,Hartcliffe Library,Bristol,Bishopston Library,Bristol
2018-07-09,Adult Graphic Novel,Burnham Library,Somerset,Weston-super-Mare Library,North Somerset
2018-07-09,Adult Fiction,Yeovil Library,Somerset,Poole Central Library,Poole
2018-07-09,Adult Graphic Novel,Burnham Library,Somerset,Weston-super-Mare Library,North Somerset
2018-07-09,Adult Fiction,Upton Library,Dorset,Bishops Lydeard Library,Somerset
2018-07-09,Adult Non Fiction,Radstock Library,Bath and North East Somerset,Somerset County Reserve,Somerset
2018-07-09,Adult Fiction,Glastonbury Library,Somerset,South Petherton Library,Somerset
2018-07-09,Adult Non Fiction,B&NES Mobile Libraries,Bath and North East Somerset,Bristol Central Lending Library,Bristol
2018-07-09,Adult Fiction,Henleaze Library,Bristol,Somerton Library,Somerset
2018-07-09,Adult Non Fiction,Radstock Library,Bath and North East Somerset,Weston-super-Mare Library,North Somerset
2018-07-09,Adult Fiction,Glastonbury Library,Somerset,Sea Mills Library,Bristol
2018-07-09,Adult Fiction,Somerton Library,Somerset,Winterbourne Library,South Gloucestershire
2018-07-09,Adult Non Fiction,Dorchester Library,Dorset,South Petherton Library,Somerset
2018-07-09,Adult Non Fiction,Thornbury Library,South Gloucestershire,Bradley Stoke Library,South Gloucestershire
2018-07-09,Adult Fiction,Thornbury Library,South Gloucestershire,Bradley Stoke Library,South Gloucestershire
2018-07-09,Adult Fiction,Thornbury Library,South Gloucestershire,Bradley Stoke Library,South Gloucestershire
2018-07-09,Adult Non Fiction,Dorchester Library,Dorset,Canford Cliffs Library,Poole
2018-07-09,Adult Non Fiction,Dorchester Library,Dorset,Bristol Central Lending Library,Bristol
2018-07-09,Adult Fiction,North Somerset Mobile,North Somerset,Bishops Lydeard Library,Somerset
2018-07-09,Adult Fiction,Glastonbury Library,Somerset,South Petherton Library,Somerset
2018-07-09,YA / Teen Fiction,Midsomer Norton Library,Bath and North East Somerset,Street Library,Somerset
2018-07-09,Adult Non Fiction,Campus Library,North Somerset,Portishead Library,North Somerset
2018-07-09,Adult Non Fiction,Bristol Central Lending Library,Bristol,Blandford Library,Dorset
2018-07-09,Adult Fiction,Henleaze Library,Bristol,Bath Central Library,Bath and North East Somerset
2018-07-09,Adult Fiction,Stockwood Library,Bristol,Junction 3 Library,Bristol
2018-07-09,Adult Spoken Word,Stockwood Library,Bristol,Whitchurch Library,Bristol
2018-07-09,Child Non Fiction,Dorchester Library,Dorset,Bishopston Library,Bristol
2018-07-09,Adult Spoken Word,Stockwood Library,Bristol,Swanage Library,Dorset
2018-07-09,Adult Spoken Word,Stockwood Library,Bristol,Knowle Library,Bristol
2018-07-09,Adult Fiction,Weston-super-Mare Library,North Somerset,Worle Library,North Somerset
2018-07-09,Child Fiction,Horfield Library,Bristol,Westbury-on-Trym Library,Bristol
2018-07-09,Adult Fiction,Worle Library,North Somerset,Pill Library,North Somerset
2018-07-09,Child Non Fiction,Bradley Stoke Library,South Gloucestershire,Yate Library,South Gloucestershire
2018-07-09,Adult Fiction,Worle Library,North Somerset,Beaminster Library,Dorset
2018-07-09,Adult Fiction,Lytchett Matravers Library,Dorset,Williton Library,Somerset
2018-07-09,Large Print - Adult Fiction,Lytchett Matravers Library,Dorset,Branksome Library,Poole
2018-07-09,Adult Fiction,Colehill Library,Dorset,Ferndown Library,Dorset
2018-07-09,Adult Fiction,Glastonbury Library,Somerset,Shepton Mallet Library,Somerset
2018-07-09,Adult Fiction,Henleaze Library,Bristol,Knowle Library,Bristol
2018-07-09,Child Fiction,Worle Library,North Somerset,Pill Library,North Somerset
2018-07-09,Adult Non Fiction,Kingswood Library,South Gloucestershire,Filton Library,South Gloucestershire
2018-07-09,YA / Teen Fiction,Lytchett Matravers Library,Dorset,Bath Central Library,Bath and North East Somerset
2018-07-09,Adult Fiction,Worle Library,North Somerset,Home Library Service Mobile Dorset,Dorset
2018-07-09,Adult Fiction,Weston-super-Mare Library,North Somerset,Wellington Library,Somerset
2018-07-09,Adult Fiction,Lytchett Matravers Library,Dorset,Oakdale Library,Poole
2018-07-09,Large Print - Adult Fiction,Lyme Regis Library,Dorset,Martock Library,Somerset
2018-07-09,Adult Non Fiction,Rossmore Library,Poole,Branksome Library,Poole
2018-07-09,Child Fiction,Bradley Stoke Library,South Gloucestershire,Clevedon Library,North Somerset
2018-07-09,Adult Fiction,Weston-super-Mare Library,North Somerset,Upton Library,Dorset
2018-07-09,YA / Teen Fiction,Stockwood Library,Bristol,Bath Central Library,Bath and North East Somerset
2018-07-09,Adult Non Fiction,Stockwood Library,Bristol,Yatton Library,North Somerset
2018-07-09,Large Print - Adult Fiction,Lyme Regis Library,Dorset,Weston-super-Mare Library,North Somerset
2018-07-09,Adult Fiction,Dorchester Library,Dorset,Hartcliffe Library,Bristol
2018-07-09,Adult Fiction,Stockwood Library,Bristol,Christchurch Library,Dorset
2018-07-09,Adult Fiction,Stockwood Library,Bristol,Bridgwater Library,Somerset
2018-07-09,Adult Fiction,Lytchett Matravers Library,Dorset,Moorland Road Library,Bath and North East Somerset
2018-07-09,Adult Fiction,Stockwood Library,Bristol,Dorchester Library,Dorset
2018-07-09,Music CD,Weston-super-Mare Library,North Somerset,Poole Central Library,Poole
2018-07-09,Adult Fiction,Dorchester Library,Dorset,Corfe Castle Library,Dorset
2018-07-09,Adult Non Fiction,Junction 3 Library,Bristol,Fishponds Library,Bristol
2018-07-09,Adult Non Fiction,Dorchester Library,Dorset,Redland Library,Bristol
2018-07-09,Adult Fiction,Lytchett Matravers Library,Dorset,Keynsham Library,Bath and North East Somerset
2018-07-09,Child Fiction,Campus Library,North Somerset,Worle Library,North Somerset
2018-07-09,Adult Non Fiction,Dorchester Library,Dorset,Winterbourne Library,South Gloucestershire
2018-07-09,Adult Fiction,Bath Central Library,Bath and North East Somerset,Christchurch Library,Dorset
2018-07-09,Adult Non Fiction,Ferndown Library,Dorset,Oakdale Library,Poole
2018-07-09,Child Fiction,Weston-super-Mare Library,North Somerset,Fishponds Library,Bristol
2018-07-09,Adult Non Fiction,Bristol Central Lending Library,Bristol,Downend Library,South Gloucestershire
2018-07-09,Music CD,Dorchester Library,Dorset,Bristol Central Lending Library,Bristol
2018-07-09,Adult Non Fiction,Bristol Central Lending Library,Bristol,Bath Central Library,Bath and North East Somerset
2018-07-09,Large Print - Adult Fiction,Junction 3 Library,Bristol,Avonmouth Library,Bristol
2018-07-09,Child Fiction,Campus Library,North Somerset,Bishopsworth Library,Bristol
2018-07-09,Adult Fiction,Campus Library,North Somerset,Colehill Library,Dorset
2018-07-09,Adult Non Fiction,Ferndown Library,Dorset,Broadstone Library,Poole
2018-07-09,Adult Fiction,Westbury-on-Trym Library,Bristol,Henbury Library,Bristol
2018-07-09,Adult Fiction,Poole Central Library,Poole,Bristol Central Lending Library,Bristol
2018-07-09,Adult Fiction,Bridgwater Library,Somerset,Westbury-on-Trym Library,Bristol
2018-07-09,Adult Fiction,West Moors Library,Dorset,Broadstone Library,Poole
2018-07-09,Adult Non Fiction,Midsomer Norton Library,Bath and North East Somerset,Wells Library,Somerset
2018-07-09,PG DVD Standard,Bishopston Library,Bristol,Bedminster Library,Bristol
2018-07-09,Music CD,Dorchester Library,Dorset,Kingswood Library,South Gloucestershire
2018-07-09,Adult Fiction,Bridgwater Library,Somerset,Bedminster Library,Bristol
2018-07-09,Adult Fiction,Glastonbury Library,Somerset,Weymouth Library,Dorset
2018-07-09,Adult Fiction,Westbury-on-Trym Library,Bristol,Fishponds Library,Bristol
2018-07-09,Adult Fiction,West Moors Library,Dorset,Thornbury Library,South Gloucestershire
2018-07-09,15 DVD Standard,Dorchester Library,Dorset,Henbury Library,Bristol
2018-07-09,Adult Fiction,Bridgwater Library,Somerset,Portland Tophill Library,Dorset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Fiction,Bridgwater Library,Somerset,Worle Library,North Somerset
2018-07-09,Adult Spoken Word,Dorchester Library,Dorset,Bristol Central Lending Library,Bristol
2018-07-09,Child Non Fiction,North Somerset Mobile,North Somerset,Lyme Regis Library,Dorset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Spoken Word,Bridgwater Library,Somerset,Clifton Library,Bristol
2018-07-09,Adult Fiction,Glastonbury Library,Somerset,St George Library,Bristol
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Fiction,Worle Library,North Somerset,Pill Library,North Somerset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Child Fiction,North Somerset Mobile,North Somerset,Oakdale Library,Poole
2018-07-09,Child Fiction,Downend Library,South Gloucestershire,Patchway Library,South Gloucestershire
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Fiction,Bridgwater Library,Somerset,Yatton Library,North Somerset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Non Fiction,Henleaze Library,Bristol,Filwood Library,Bristol
2018-07-09,Child Fiction,Glastonbury Library,Somerset,Wells Library,Somerset
2018-07-09,Adult Fiction,Bishopston Library,Bristol,Highcliffe Library,Dorset
2018-07-09,Adult Fiction,Bishopston Library,Bristol,Fishponds Library,Bristol
2018-07-09,Adult Fiction,Bishopston Library,Bristol,Wareham Library,Dorset
2018-07-09,Adult Fiction,Bishopston Library,Bristol,Wyke Regis Library,Dorset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Spoken Word,Frome Library,Somerset,Burnham Library,Somerset
2018-07-09,Adult Spoken Word,Horfield Library,Bristol,Henleaze Library,Bristol
2018-07-09,Adult Fiction,Bishopston Library,Bristol,Winterbourne Library,South Gloucestershire
2018-07-09,Adult Fiction,Ferndown Library,Dorset,Minehead Library,Somerset
2018-07-09,Adult Non Fiction,Bristol Central Lending Library,Bristol,Broadstone Library,Poole
2018-07-09,YA / Teen Fiction,Somerton Library,Somerset,Glastonbury Library,Somerset
2018-07-09,Adult Fiction,Burnham Library,Somerset,Ilminster Library,Somerset
2018-07-09,Child Fiction,Somerton Library,Somerset,Glastonbury Library,Somerset
2018-07-09,Adult Fiction,Swanage Library,Dorset,Bridport Library,Dorset
2018-07-09,Child Fiction,Somerton Library,Somerset,Wincanton Library,Somerset
2018-07-09,Child Fiction,Somerton Library,Somerset,Yate Library,South Gloucestershire
2018-07-09,Adult Fiction,Burnham Library,Somerset,Crewkerne Library,Somerset
2018-07-09,Adult Fiction,Horfield Library,Bristol,Junction 3 Library,Bristol
2018-07-09,Child Fiction,Somerton Library,Somerset,Frome Library,Somerset
2018-07-09,Adult Fiction,Bedminster Library,Bristol,Bridport Library,Dorset
2018-07-09,Child Fiction,Somerton Library,Somerset,Bruton Library,Somerset
2018-07-09,Adult Fiction,Swanage Library,Dorset,Henbury Library,Bristol
2018-07-09,Adult Fiction,Somerton Library,Somerset,Martock Library,Somerset
2018-07-09,Adult Fiction,Somerton Library,Somerset,Crewkerne Library,Somerset
2018-07-09,Adult Spoken Word,Horfield Library,Bristol,Shirehampton Library,Bristol
2018-07-09,Adult Fiction,Bishopston Library,Bristol,Somerton Library,Somerset
2018-07-09,Adult Fiction,Somerton Library,Somerset,Crewkerne Library,Somerset
2018-07-09,Adult Fiction,Somerton Library,Somerset,Ilminster Library,Somerset
2018-07-09,Adult Non Fiction,Downend Library,South Gloucestershire,Yate Library,South Gloucestershire
2018-07-09,Child Fiction,Glastonbury Library,Somerset,Bruton Library,Somerset
2018-07-09,Adult Spoken Word,Horfield Library,Bristol,Highcliffe Library,Dorset
2018-07-09,Adult Fiction,Somerton Library,Somerset,Ilminster Library,Somerset
2018-07-09,Adult Fiction,Somerton Library,Somerset,Yeovil Library,Somerset
2018-07-09,Adult Fiction,Swanage Library,Dorset,Bishopsworth Library,Bristol
2018-07-09,12 DVD Standard,Stalbridge Library,Dorset,Gillingham Library,Dorset
2018-07-09,Adult Fiction,Yate Library,South Gloucestershire,Lytchett Matravers Library,Dorset
2018-07-09,Adult Non Fiction,Downend Library,South Gloucestershire,Yate Library,South Gloucestershire
2018-07-09,Adult Fiction,Horfield Library,Bristol,Henleaze Library,Bristol
2018-07-09,Adult Fiction,Poole Central Library,Poole,Parkstone Library,Poole
2018-07-09,Adult Fiction,Poole Central Library,Poole,Creekmoor Library,Poole
2018-07-09,Child Fiction,Poole Central Library,Poole,Street Library,Somerset
2018-07-09,Child Non Fiction,Poole Central Library,Poole,Branksome Library,Poole
2018-07-09,Adult Fiction,Poole Central Library,Poole,Broadstone Library,Poole
2018-07-09,Adult Non Fiction,Poole Central Library,Poole,Canford Heath Library,Poole
2018-07-09,Adult Fiction,Broadstone Library,Poole,Wimborne Library,Dorset
2018-07-09,Adult Fiction,Poole Central Library,Poole,Oakdale Library,Poole
2018-07-09,Adult Fiction,Poole Central Library,Poole,Wimborne Library,Dorset
2018-07-09,Adult Non Fiction,Swanage Library,Dorset,Upton Library,Dorset
2018-07-09,Adult Fiction,Poole Central Library,Poole,Oakdale Library,Poole
2018-07-09,Adult Fiction,Poole Central Library,Poole,Oakdale Library,Poole
2018-07-09,Adult Fiction,Poole Central Library,Poole,Oakdale Library,Poole
2018-07-09,Child Fiction,Poole Central Library,Poole,Ferndown Library,Dorset
2018-07-09,Child Fiction,Poole Central Library,Poole,Ferndown Library,Dorset
2018-07-09,Large Print - Adult Fiction,Poole Central Library,Poole,Weymouth Library,Dorset
2018-07-09,Child Fiction,Poole Central Library,Poole,Ferndown Library,Dorset
2018-07-09,Child Fiction,Poole Central Library,Poole,Ferndown Library,Dorset
2018-07-09,Large Print - Adult Fiction,Poole Central Library,Poole,Ferndown Library,Dorset
2018-07-09,Child Fiction,Broadstone Library,Poole,Sea Mills Library,Bristol
2018-07-09,Child Fiction,Poole Central Library,Poole,Weymouth Library,Dorset
2018-07-09,Child Fiction,Poole Central Library,Poole,Ferndown Library,Dorset
2018-07-09,Child Fiction,Poole Central Library,Poole,Weymouth Library,Dorset
2018-07-09,Child Fiction,Poole Central Library,Poole,Weymouth Library,Dorset
2018-07-09,Large Print - Adult Fiction,Poole Central Library,Poole,Ferndown Library,Dorset
2018-07-09,Child Fiction,Poole Central Library,Poole,Shaftesbury Library,Dorset
2018-07-09,Child Fiction,Poole Central Library,Poole,Parkstone Library,Poole
2018-07-09,Adult Fiction,Poole Central Library,Poole,Branksome Library,Poole
2018-07-09,Child Fiction,Downend Library,South Gloucestershire,Crossways Library,Dorset
2018-07-09,Adult Fiction,Poole Central Library,Poole,Branksome Library,Poole
2018-07-09,Adult Fiction,Burnham Library,Somerset,Crewkerne Library,Somerset
2018-07-09,Adult Fiction,Lytchett Matravers Library,Dorset,Poole Central Library,Poole
2018-07-09,Adult Fiction,Stalbridge Library,Dorset,Dorchester Library,Dorset
2018-07-09,Adult Non Fiction,Christchurch Library,Dorset,Yeovil Library,Somerset
2018-07-09,Adult Fiction,Broadstone Library,Poole,Midsomer Norton Library,Bath and North East Somerset
2018-07-09,Adult Fiction,Broadstone Library,Poole,Bridport Library,Dorset
2018-07-09,Child Fiction,Dorchester Library,Dorset,Ilminster Library,Somerset
2018-07-09,YA / Teen Fiction,Corfe Castle Library,Dorset,Puddletown Library,Dorset
2018-07-09,Adult Fiction,Broadstone Library,Poole,Wimborne Library,Dorset
2018-07-09,Adult Non Fiction,Broadstone Library,Poole,Weymouth Library,Dorset
2018-07-09,Adult Fiction,Chard Library,Somerset,Sherborne Library,Dorset
2018-07-09,Adult Fiction,Chard Library,Somerset,Littlemoor Library,Dorset
2018-07-09,Adult Graphic Novel,Dorchester Library,Dorset,Bristol Central Lending Library,Bristol
2018-07-09,Adult Graphic Novel,Dorchester Library,Dorset,Bristol Central Lending Library,Bristol
2018-07-09,Adult Fiction,Wellington Library,Somerset,Yate Library,South Gloucestershire
2018-07-09,Child Fiction,Chard Library,Somerset,Ilminster Library,Somerset
2018-07-09,Child Fiction,Chard Library,Somerset,Ilminster Library,Somerset
2018-07-09,Adult Graphic Novel,Dorchester Library,Dorset,Bristol Central Lending Library,Bristol
2018-07-09,Child Fiction,Chard Library,Somerset,Ilminster Library,Somerset
2018-07-09,Child Fiction,Chard Library,Somerset,Ilminster Library,Somerset
2018-07-09,Child Fiction,Chard Library,Somerset,Ilminster Library,Somerset
2018-07-09,Child Fiction,Chard Library,Somerset,Ilminster Library,Somerset
2018-07-09,Adult Fiction,Glastonbury Library,Somerset,Ilminster Library,Somerset
2018-07-09,Child Fiction,Chard Library,Somerset,Ilminster Library,Somerset
2018-07-09,Child Fiction,Chard Library,Somerset,Ilminster Library,Somerset
2018-07-09,Child Non Fiction,North Somerset Mobile,North Somerset,Weymouth Library,Dorset
2018-07-09,Child Fiction,Chard Library,Somerset,Ilminster Library,Somerset
2018-07-09,Adult Non Fiction,Downend Library,South Gloucestershire,Yate Library,South Gloucestershire
2018-07-09,Child Fiction,Chard Library,Somerset,Ilminster Library,Somerset
2018-07-09,Child Fiction,Chard Library,Somerset,Ilminster Library,Somerset
2018-07-09,Adult Fiction,Henbury Library,Bristol,Swanage Library,Dorset
2018-07-09,Child Fiction,Henbury Library,Bristol,Southmead Library,Bristol
2018-07-09,Adult Non Fiction,Congresbury Library,North Somerset,Pill Library,North Somerset
2018-07-09,Child Fiction,North Somerset Mobile,North Somerset,Wool Library,Dorset
2018-07-09,Adult Non Fiction,Horfield Library,Bristol,Bishopston Library,Bristol
2018-07-09,Adult Non Fiction,Horfield Library,Bristol,Dorchester Library,Dorset
2018-07-09,Adult Fiction,Thornbury Library,South Gloucestershire,Hanham Library,South Gloucestershire
2018-07-09,YA / Teen Fiction,Henbury Library,Bristol,Henleaze Library,Bristol
2018-07-09,Child Fiction,North Somerset Mobile,North Somerset,Highcliffe Library,Dorset
2018-07-09,Adult Non Fiction,Henbury Library,Bristol,Bedminster Library,Bristol
2018-07-09,Child Fiction,Henbury Library,Bristol,Southmead Library,Bristol
2018-07-09,Child Fiction,Henbury Library,Bristol,Southmead Library,Bristol
2018-07-09,Adult Non Fiction,Henbury Library,Bristol,St George Library,Bristol
2018-07-09,Child Fiction,North Somerset Mobile,North Somerset,Sherborne Library,Dorset
2018-07-09,Adult Non Fiction,Dorchester Library,Dorset,Taunton Library,Somerset
2018-07-09,Adult Fiction,Bishopston Library,Bristol,Crossways Library,Dorset
2018-07-09,Adult Fiction,Bishopston Library,Bristol,Castle Cary Library,Somerset
2018-07-09,Adult Fiction,Glastonbury Library,Somerset,Yeovil Library,Somerset
2018-07-09,YA / Teen Fiction,Henbury Library,Bristol,Henleaze Library,Bristol
2018-07-09,Adult Non Fiction,Bridport Library,Dorset,Moorland Road Library,Bath and North East Somerset
2018-07-09,Child Fiction,Highcliffe Library,Dorset,Moorland Road Library,Bath and North East Somerset
2018-07-09,YA / Teen Fiction,Henbury Library,Bristol,Sherborne Library,Dorset
2018-07-09,Adult Fiction,Wareham Library,Dorset,Broadstone Library,Poole
2018-07-09,Adult Non Fiction,Bedminster Library,Bristol,Fishponds Library,Bristol
2018-07-09,Adult Fiction,Horfield Library,Bristol,Bishopston Library,Bristol
2018-07-09,Adult Non Fiction,Sherborne Library,Dorset,Yeovil Library,Somerset
2018-07-09,Adult Fiction,Weymouth Library,Dorset,Bishops Lydeard Library,Somerset
2018-07-09,Adult Non Fiction,Horfield Library,Bristol,Glastonbury Library,Somerset
2018-07-09,Child Non Fiction,Highcliffe Library,Dorset,Thornbury Library,South Gloucestershire
2018-07-09,YA / Teen Fiction,Henbury Library,Bristol,West Moors Library,Dorset
2018-07-09,Adult Fiction,Sherborne Library,Dorset,Taunton Library,Somerset
2018-07-09,Adult Fiction,Bishopston Library,Bristol,Junction 3 Library,Bristol
2018-07-09,Adult Non Fiction,Dorchester Library,Dorset,Redland Library,Bristol
2018-07-09,Adult Fiction,Henbury Library,Bristol,Weston-super-Mare Library,North Somerset
